dataset_source,species,breed,age_years,weight_kg,body_temp_c,symptoms,outcome_diagnosis
Classification,Fox,,,,,"Loss od appetite, Wheezing, Seizuers, Skin rashes, Fatique",Dangerous: Yes
Classification,Fox,,,,,"Indigestion, Abdminal pain, Constipation, Diarrhea, Nausea",Dangerous: Yes
Classification,Fox,,,,,"Blood in urine, Diarrhea, Vomiting, Lethargy, Bleeding in eye and skin",Dangerous: Yes
Classification,Goat,,,,,"Fever, Malaise, Weakness, Weight loss, Pain",Dangerous: Yes
Classification,Goat,,,,,"Fever, Diarrhea, Vomiting, Stomach cramps, Nausea",Dangerous: Yes
Classification,Goat,,,,,"Fever, Lack of coordination, Depression, Salivation, Facial paralysis",Dangerous: Yes
Classification,Goat,,,,,"Sores on lip, Infection, Sores on lower leg and teats, Lesion, Pain",Dangerous: Yes
Classification,Goat,,,,,"Abortion on late pregancy, Stillbirth, Retained Placenda, Endomeritis, Decrease appetite",Dangerous: Yes
Classification,Goat,,,,,"paresis, paralysis, Weakness, Stomach cramps, Diarrhea",Dangerous: Yes
Classification,Goat,,,,,"Fever, Diarrhea, Swelling, Weight loss, Pain",Dangerous: Yes
Classification,Goat,,,,,"Fever, Hemolytic anemia, Hemoglobinuria, pulmonary congestion, Jaundice",Dangerous: Yes
Classification,Goat,,,,,"Abortion , Mummification, Stillbirth, Weak kids, Pain",Dangerous: Yes
Classification,Goat,,,,,"Runny nose, Difficulty in breathing, Coughing, Weakness, Loss of appettite",Dangerous: Yes
Classification,Goat,,,,,"Fever, Nasal discharge, Respiratory distress, Pox lesion, Pain",Dangerous: Yes
Classification,Goat,,,,,"Fever, Dark colored bloody, Incoordination, Difficulty in breathing, Terminal convulsion",Dangerous: Yes
Classification,Goat,,,,,"Fever, Dysentery, Swelling, Immediate death, Pain",Dangerous: Yes
Classification,Goat,,,,,"Fever, Respiratory distress, Mucous discharge, Reduce feed, Weight gain",Dangerous: Yes
Classification,Goat,,,,,"Decreased milk, Holding limbs off the ground, Weight loss, Lameness, Wool production",Dangerous: Yes
Classification,Goat,,,,,"Swelling of udder, change in milk, Swollen, Tender to touch, Pain",Dangerous: Yes
Classification,Goat,,,,,"Fever, Respiratory distress, Occular discharge, Mouth lesion, Nasal Discharge",Dangerous: Yes
Classification,Goat,,,,,"Fever, Wound lesion, Excess salivary, Difficult in walking, Pain",Dangerous: Yes
Classification,Goat,,,,,"Emaciation, Edema in lower jaw, Coughing, Shivering, Anemia",Dangerous: Yes
Classification,Goat,,,,,"Fever, Reduce growth, Kid moratality, Weakness, Dullness",Dangerous: Yes
Classification,Goat,,,,,"Fever, Reduce growth, Edema in lower jaw, Weight loss, Anemia",Dangerous: Yes
Classification,Goat,,,,,"Emaciation, Diarrhea, Kid moratality, Weakness, Anemia",Dangerous: Yes
Classification,Goat,,,,,"SkinAllergy, Reduce growth, Wound, Head ache, Dizziness",Dangerous: Yes
Classification,Goat,,,,,"Watering of eyes, Redness of white of the eye, Swelling of eyelid, Cornea become cloudy, Tear production",Dangerous: Yes
Classification,Goat,,,,,"Berberi, Wasting, Nervous, Weight loss, Anorexia",Dangerous: Yes
Classification,Goat,,,,,"Gastritis, morbidity, Bloody, Mortality, Anemia",Dangerous: Yes
Classification,Deer,,,,,"Fever, Severe headache, Vomiting, Coughing, Fatique",Dangerous: Yes
Classification,Deer,,,,,"Fever, Tiredness, Swollen kidney, Hematuria, Muscle aches",Dangerous: Yes
Classification,Deer,,,,,"Fever, Diarrhea, Decreased appetite, Vomiting, Bloody",Dangerous: Yes
Classification,Deer,,,,,"Gas, Diarrhea, Abdominal discomfort, Vomiting, Nausea",Dangerous: Yes
Classification,Deer,,,,,"Drooping ears, Lack of coordination, Drooling, Wasting, Listlessness",Dangerous: Yes
Classification,Chicken,,,,,"Edema, diarrhea, Nasal Discharge, Decresed egg production, Sneezing",Dangerous: Yes
Classification,Chicken,,,,,"Drooping wings, Depression, Nasal Discharge, Coughing, Greenish diarrhea",Dangerous: No
Classification,Chicken,,,,,"Weakness, Yellow or green dropping, Purplish combs, Wattles, Drop on egg production",Dangerous: No
Classification,Chicken,,,,,"Neck paralysis, Diarrhea, ruffled feathers, Labored breathing, Weakness",Dangerous: No
Classification,Chicken,,,,,"Facial Swelling, Lacrimation, Diarrhea, Anorexia, Nasal Discharge",Dangerous: No
Classification,Chicken,,,,,"loss of appetite, Depression, Paralyzed leg, Weight loss, Anemia",Dangerous: No
Classification,Chicken,,,,,"Dejection, Loss of appetite, Slow growth, Diarrhea, Lesion",Dangerous: No
Classification,Chicken,,,,,"Severe swellimg, Heavy Breathing, Diarrhea, Weight loss, Pain",Dangerous: No
Classification,Chicken,,,,,"Weakness, Diarrhea, High moratality, Dehydration, Anorexia",Dangerous: No
Classification,Monkey,,,,,"Fever, Hepatitis, Skin rashes, Weight loss, Pain",Dangerous: No
Classification,Monkey,,,,,"Sneezing, Epistaxis, Coughing, Difficulty in breathing, Nasal Discharge",Dangerous: No
Classification,Monkey,,,,,"Sneezing, Unilateral Nasal discharge, Gagging, Retching, Weight loss",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Depression, Coughing, Weight loss, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Shallow breathing, Halitosis, Coughing, Lethargy, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Dyspnea, Sneezing, Coughing, Difficulty in breathing, Infection",Dangerous: Yes
Classification,Monkey,,,,,"Dyspnea, Sneezing, Coughing, Difficulty in breathing, Pain",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Rhinorrhea, Coughing, Sneezing, Dehydration",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Rhinorrhea, Coughing, Facial edema, Dyspnea",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Rhinorrhea, Coughing, Sneezing, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Mortality, Painfull, Coughing, Weight loss, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Skin rashes, Diarrhea, Death, Facial edema, Pain",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Dyspnea, Coughing, Lethargy, Weightloss",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Dyspnea, Coughing, weakness, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Facial edema, Dyspnea, Conjuctivtis, Weakness, Pharyngitis",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Pneumonia , Congestion, Lethargy, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Death, Coughing, Weight loss, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Sneezing, Convulsion, Seizuers, Weight loss, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Death, Coughing, Dyspnea, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Dyspnea, Difficulty in breathing, Coughing, Lethargy, Nasal Discharge",Dangerous: Yes
Classification,Monkey,,,,,"Air sacculitis, Halitosis, Coughing, Enteritis, Weight loss",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Convulsion, Sudden death, Urine retention, Weight loss",Dangerous: Yes
Classification,Monkey,,,,,"Dyspnea, Neurologic sign, Coughing, Depression, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Fever, Dyspnea, Coughing, Lethargy, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Labored breathing, Dyspnea, Coughing, Depression, Anorexia",Dangerous: Yes
Classification,Monkey,,,,,"Blood from mouth, Diarrhea, Coughing, Lethargy, Weight loss",Dangerous: Yes
Classification,Monkey,,,,,"Hemopytsis, Diarrhea, Asymptomatic, Death, Epistaxis",Dangerous: Yes
Classification,Monkey,,,,,"Restlessness, Weakness, Blue straws, Death, Pain",Dangerous: Yes
Classification,Birds,,,,,"Stripped remiges, Less Feather growth, Ruffled feathers, Defienciency in vitamin, Diarrhea",Dangerous: Yes
Classification,Birds,,,,,"Apathy, Depression, Dilation of duodenum, Cloacal pasting, Congestion",Dangerous: Yes
Classification,Birds,,,,,"Lepatomegaly, Splenomegaly, Vomiting, Swollen, Shaking oh head",Dangerous: Yes
Classification,Birds,,,,,"Balance problem, Abdominal destention, Neck Paralysis, Weight loss, Pains",Dangerous: Yes
Classification,Birds,,,,,"Legness, Paresis, Coughing, Weight loss, Shortness of breath",Dangerous: Yes
Classification,Birds,,,,,"Fever, Sour Throat, Mortality, Muscle aches, Abnormalities",Dangerous: Yes
Classification,Birds,,,,,"Difficulty in feeding, Preening, Weakness, Beak overgrowth, Anemia",Dangerous: Yes
Classification,Birds,,,,,"Fever, Loss of appetite, Ear infection, Depression, Nasal Discharge",Dangerous: Yes
Classification,Birds,,,,,"Forthy eye, Torticollis, Weakness, Swelling, Emaciation",Dangerous: Yes
Classification,Birds,,,,,"Inappentence, Diarrhea, Tremors of the head, Dehydration, Weight loss",Dangerous: Yes
Classification,Birds,,,,,"Lack of walking, Lack of flying, Roughened, Dehydration, Pains",Dangerous: Yes
Classification,Birds,,,,,"Skin rashes, Small and yellow bumps, Swelling, Dry Scabs, Lameness",Dangerous: Yes
Classification,Birds,,,,,"Scabs On feet, Redness , Trachea, Thickening of skin, Pains",Dangerous: Yes
Classification,Birds,,,,,"Enlarged Thymus, Obstructed Lungs, Lethargy, Skin rashes, Weight loss",Dangerous: Yes
Classification,Birds,,,,,"Fluffed Feather, Loss of appetite, Coughing, Vomiting, Snoring",Dangerous: Yes
Classification,Birds,,,,,"Fever, Difficultty in Breathing, Yellow Eye, Sneezing, Diphtherictic",Dangerous: Yes
Classification,Birds,,,,,"Heavy Breathing, Yellow in beak, Tail_Bobbing, Weakness, Sleeping Excessively",Dangerous: Yes
Classification,Birds,,,,,"Puffed_up Feather, Less Eat, Headache, Half-closed eye, Seizures",Dangerous: Yes
Classification,Birds,,,,,"Fever, Diarrhea, Swollen Abdomen, Vomiting, Difficulty in Breathing",Dangerous: Yes
Classification,Birds,,,,,"Tail Wagging, Straining, Lethargy, Weakness, Diarrhea",Dangerous: Yes
Classification,Birds,,,,,"Overweight, Loss of Appetite, Ruffled feathers, Depression, Diarrhea",Dangerous: Yes
Classification,Birds,,,,,"Dejection, Loss of Appetite, Stress, Coughing, Pains",Dangerous: Yes
Classification,Birds,,,,,"Skin infection, Secondary Infection, Coughing, Depression, Shaking oh head",Dangerous: Yes
Classification,Birds,,,,,"Discharge From eyes, Lethargy, Coughing, Sneezing, Fatique",Dangerous: Yes
Classification,Birds,,,,,"Fever, Chills, Retarded Growth, Chest Pain, Chest Pain",Dangerous: Yes
Classification,Birds,,,,,"Pale comb, Lame, Death, Swolling of joint, Eye closed",Dangerous: Yes
Classification,Birds,,,,,"Lethargy, Loss of appetite, Difficulty in Swallowing, Weakness, Vision Problem",Dangerous: Yes
Classification,Birds,,,,,"Emaciation, Difficulty in breathing, Vomiting, Weakness, Diarrhea",Dangerous: Yes
